"fips","gini_cnty","income_cnty","black_cnty","pop_cnty","perc_bush"
1001,41,5.1463,17.8566,4.9584,75.8325
1003,43.7,4.8918,9.90017,17.1997,76.8371
1005,47.1,3.2537,46.3271,2.9663,54.8441
1007,39.5,4.1236,23.0758,2.1464,72.253
1009,41.4,4.5406,0.96296,5.6804,81.1857
1011,54,2.6209,75.0481,1.0917,31.74
1013,45.2,3.1938,41.2502,2.0189,59.2619
1015,45.4,3.8382,19.6116,11.2969,66.1415
1017,41.8,3.2433,37.3069,3.4704,58.573
1019,42,4.024,5.62083,2.4427,65.7813
1021,44.9,3.8966,10.721,4.2272,77.0534
1023,43.6,3.0749,43.5378,1.4229,54.0665
1025,51.8,2.708,41.7505,2.6438,59.156
1027,39.3,3.7652,14.6271,1.3769,70.5326
1029,45.6,3.3742,5.35702,1.4579,75.5586
1031,44.8,4.1973,18.1082,4.6802,74.0888
1033,43.5,3.9366,15.9755,5.4546,55.2509
1035,50.4,2.7216,44.2885,1.3114,54.4515
1037,44.7,3.3595,32.523,1.0777,58.4491
1039,45.7,3.3278,12.5,3.6688,76.2545
1041,50,3.1058,21.6848,1.3687,68.7557
1043,45,3.8394,1.21171,8.063,76.6104
1045,42.7,4.2225,20.374,4.8233,74.9339
1047,50.8,2.6442,66.8827,4.2748,39.576
1049,45.8,3.3634,1.53557,6.8183,70.1519
1051,40.5,5.2971,21.4681,7.6714,77.15
1053,46.3,3.2321,31.4688,3.7561,68.8842
1055,44.2,3.6378,14.6331,10.315,63.4964
1057,41.5,3.5754,11.3251,1.7651,69.419
1059,44.7,3.338,3.90638,3.0847,62.7643
1061,45.7,3.1055,10.3876,2.58,79.6098
1063,47.1,2.2352,78.6545,0.9112,20.2409
1065,44.7,2.9841,58.6973,1.7994,41.415
1067,44,3.5792,30.5971,1.658,66.507
1069,46.9,4.1096,25.2433,9.7091,74.4266
1071,43.9,3.5073,3.51809,5.2898,56.9174
1073,48.9,4.4718,40.7306,66.2212,54.3477
1075,50.6,3.1094,12.0169,1.4438,71.3931
1077,45.9,3.7691,10.1525,8.855,59.9653
1079,39.7,4.1472,12.2426,3.4094,55.4973
1081,49,3.8588,23.2014,13.0669,63.0173
1083,43.4,4.4997,13.1379,7.4076,67.9085
1085,49.8,3.027,70.6381,1.2632,29.6727
1087,47.5,2.6305,82.3529,2.2304,17.0147
1089,44.8,5.4979,23.5341,31.4047,59.2041
1091,49.4,3.0819,52.8477,2.121,50.9724
1093,44.1,3.2224,3.71579,2.9415,69.9066
1095,46,3.7396,1.55701,8.7925,72.575
1097,47.1,4.0476,34.2199,40.5331,58.8246
1099,48.2,2.981,40.079,2.279,61.25
1101,48.6,4.3015,52.805,22.4369,49.3003
1103,44,4.2913,11.6114,11.5197,69.4019
1105,44.5,2.627,68.9494,1.0689,31.5435
1107,46.3,2.715,42.498,1.9528,56.7571
1109,51.8,2.8065,36.9458,3.0136,63.1166
1111,47,3.5137,21.7472,2.2504,68.237
1113,43.7,3.2064,40.7783,5.0029,49.7284
1115,41.2,4.8425,8.80325,7.7585,80.8907
1117,42.8,6.7534,9.76688,18.2996,80.7369
1119,52.3,2.0994,70.8676,1.3267,29.2972
1121,45.4,3.5865,31.6785,8.019,61.5214
1123,50.4,3.6637,25.6364,4.0778,69.2282
1125,50.4,3.9579,30.7892,17.8754,61.6127
1127,44.4,3.6708,6.34727,6.888,67.7533
1129,44.7,3.4738,25.9528,1.7212,61.5103
1131,51.3,2.2006,72.594,1.2552,35.3128
1133,46.2,2.9818,0.165358,2.419,78.0611
2013,35.7,5.625,10.071,0.2959,NA
2016,33.6,7.2989,10.2634,0.5505,NA
2020,41.6,7.0151,5.89574,28.0389,NA
2050,41.6,5.312,0.186578,1.7151,NA
2060,34.9,6.25,0,0.0682,NA
2068,32.5,7.625,2.22368,0.1529,NA
2070,40.7,6.0466,0.222402,0.4946,NA
2090,40.2,6.5121,5.70201,9.6843,NA
2100,44.8,4.4284,0.412541,0.2424,NA
2105,38.3,4.3208,0,0.2042,NA
2110,39.4,7.6437,0.656334,3.0777,NA
2122,41.6,5.5966,0.593757,5.3052,NA
2130,39.2,5.75,0.25891,1.3132,NA
2150,39.1,5.9655,0.76063,1.3147,NA
2164,44.9,4.1458,0.643317,0.1399,NA
2170,38.3,6.6052,1.03899,8.2099,NA
2180,42.4,5.5766,2.14156,0.9339,NA
2185,40.9,6.6556,1.08696,0.6716,NA
2188,39.3,5.7885,0.107672,0.743,NA
2195,35.3,6.1115,0,0.3862,NA
2198,40.3,4.5889,0,0.5572,NA
2220,40.2,5.8895,1.06685,0.8811,NA
2230,33.4,7.1295,1.86741,0.1071,NA
2240,36.3,5.9407,2.66272,0.676,NA
2261,39,5.5952,0.419771,0.9529,NA
2270,40.7,3.6712,0,0.7577,NA
2275,45.3,4.9508,1.38376,0.2168,NA
2282,39.3,6.625,0,0.0418,NA
2290,45.5,3.3716,0,0.5813,NA
4001,49.6,2.8378,0.281219,6.9341,34.851
4003,44.5,4.3304,4.2096,12.7613,60.4868
4005,44.5,4.8259,1.17585,12.7312,43.7473
4007,43.6,3.693,0.229508,5.185,59.6216
4009,40.4,4.0889,2.37493,3.478,69.9224
4011,39.7,4.5476,0.492037,0.7723,62.3645
4012,45.4,3.164,1.04712,2.0055,63.0717
4013,44.9,5.5223,4.33822,385.552,57.2004
4015,43.4,4.0157,0.783987,19.2988,64.5406
4017,43.3,3.8197,1.10359,11.0458,53.6647
4019,45.2,4.5885,3.35221,99.0213,47.2909
4021,40,4.9301,3.49157,29.6113,57.5755
4023,45.2,3.7204,0.235018,4.255,40.3213
4025,45,4.3965,0.659136,20.9365,62.0534
4027,43,3.8854,2.12665,18.8983,59.2223
5001,46,3.6341,24.3384,1.9385,54.6755
5003,45.6,3.3007,26.3912,2.2337,53.8253
5005,42.5,3.4534,0.236327,4.1468,60.448
5007,43.8,5.0377,1.38998,20.9931,68.7497
