psraid	int_date	area	state	tz	cregion	fips	msa	usr	usr1	form	sex	q1	q2	q3	q4	q5f1	q6a	q6b	q6cf1	q6df1	q6ff2	q6gf2	q6h	thought	precinct	oftvote	planto1	scale10	q8	q8a	q9f1	q10f2	q12	q13	q14	q15	q16	q17	q20	q21	q24	q25	q26a	q26b	q26c	q26df1	q26ef1	q26ff1	q26gf1	q26hf1	q26if1	q26jf2	q26kf2	q26lf2	q26mf2	q26nf2	q26of2	q27a	q27b	q27c	q27df1	q27ef1	q27ff1	q27gf1	q27hf1	q27if1	q27jf1	q27kf2	q27lf2	q27mf2	q27nf2	q27of2	q27pf2	q27qf2	q29f1	q30f2	q31	q40	q41	q42	q42x	q43	q44f1	q45f2	q46	q50	q51	q52	q53	q55	q56	q58	q59	q61	q62f1	q63f2	q64	q65	q66a	q66b	q66c	age	educ	hisp	race	marital	parent	relig	born	attend	religos	income	regist	regicert	party	partystr	partyln	q67	q68	ideo	pvote04a	pvote04b	employ	ownrent	labor	zipcode	contact	name	website	q2_1	q2_2	q2_3	q2vb	q5f1_1	q5f1_2	q5f1_3	q5f1vb	recage2	density3	rbcounty	recage	receduc	racethn	weight	attempt	fcall	partyid	ideology	male	white	black	unemployed	union	Income	education	income_i	religattend	ginicnty05_09	pctwht0610cnty	totpop0610cnty	pctblk0610cnty	medhinc0610cnty	pkerry	pbush04	partyid_01	ideology_01	education_01	income_i_01	religattend_01	ginicnty05_09_01	totpop0610cnty_01	pctblk0610cnty_01	medhinc0610cnty_01	pbush_01	Age	Income_01	divided	hispanic	asian	gender
383	90706	251	1	"c"	3	1003	0	"R"	3	2	1	1	1	1	1		2	3			2	1	2	1	1	1	1	10	9	1		3	1	2	3	2	1	2	3	1	3	3	1	2	2							1	1	2	1	3	2	1	4	4								4	4	4	4	4	4	4		1	3	2	1	1	3	1		2	1	2	3	9	1	2	3	1	3	1		3	1	1	3	3	3	83	6	2	1	1	2	1	2	5		4	1	1	1	2		3		2	1	1	3	1	4	36580			1	51			"MINDING OUR OWN BUSINESS."					4	1	5	6	4	1	1.048780487804878	2	60906	4.0	4.0	1.0	1.0	0.0	1.0	0.0	4.0	6.0	4.0	2.0	0.437	86.15515	175791	9.450427	50147	0.23	0.76	0.75	0.75	0.8333333	0.375	0.2	0.37109378	0.017896235	0.12954299	0.28947797	0.7922078	83.0	0.375		0.0	0.0	1.0
382	90706	251	1	"c"	3	1003	0	"R"	3	2	1	9	1	1	1		2	2			2	1	1	3	1	2	1	8	9	2		2	1	2	2	2	3	1	3	1	1	1	2	2	1							1	1	2	2	3	3	1	4	1								4	2	2	2	4	1	9		4	2	2	1	2	9	2		2	9	3	3	1	1	2	4	2	1	1		3	1	1	2	3	3	56	3	2	1	2	2	9		5		3	1	1	3		9			3	1	1	3	1	4	36547	2		2	60			"war"					3	1	5	5	2	1	1.5365853658536586	3	60906	3.0	3.0	1.0	1.0	0.0	1.0	0.0	3.0	3.0	3.0	2.0	0.437	86.15515	175791	9.450427	50147	0.23	0.76	0.5	0.5	0.33333334	0.25	0.2	0.37109378	0.017896235	0.12954299	0.28947797	0.7922078	56.0	0.25	1.0	0.0	0.0	1.0
189	90606	251	1	"c"	3	1003	0	"R"	3	1	2	2	1	9	2	9	9	9	4	1				4	1	4	2	1	9	9	2		9	9	2	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1							2	9	9	2	9	2	2	2	2	9								2		1	9	2	2		3	1		1	4	3	1	2	1	2	1	1	2	1		9	2	2	2	3	55	1	2	4	1	2	1		6	"FULL GOSPLEL"	10	1	2	3		2		3	4	1	1	3	2	4	36549	2		2	96	76		"TO MANY MEN GETTING KILLED GAS PRICES"	99				3	1	5	5	1	4	5.073170731707317	1	60906	2.0	2.0	0.0	0.0	0.0	1.0	0.0		1.0	2.6462233	1.0	0.437	86.15515	175791	9.450427	50147	0.23	0.76	0.25	0.25	0.0	0.20577791	0.0	0.37109378	0.017896235	0.12954299	0.28947797	0.7922078	55.0		1.0	0.0	0.0	0.0
811	90906	256	1	"c"	3	1015	11500	"U"	1	2	1	1	1	9	2		9	3			9	1	3	3	1	1	1	7	1			1	1	1	2	2	9	2	2	9	1	3	2	9	1							1	1	2	1	3	2	1	1	1								1	1	1	1	1	1	1		1	9	1	2	1	1	2		2	2	2	1	2	3	1	2	1	1	2		2	2	2	2	1	1	62	3	2	1	1	2	1	1	2		9	9		9		1	3		2	1	1	3	1	4	36203	2		2	62	1		"THE TERRISM ECONIMY"					3	2	4	5	2	1	1.6097560975609757	13	60906	4.0	4.0	1.0	1.0	0.0	1.0	0.0	9.0	3.0	9.0	5.0	0.454	75.50299	117149	20.42527	38407	0.33	0.66	0.75	0.75	0.33333334	1.0	0.8	0.4375	0.011886036	0.27998212	0.1619843	0.66233766	62.0	1.0	0.0	0.0	0.0	1.0
919	91006	334	1	"c"	3	1017	0	"R"	3	2	1	1	1	1	1		4	4			4	1	3	4	1	5	2	1	2			2	9	1	2	9	3	2	2	1	1	3	1	1	3							9	1	9	3	1	4	2	2	2								2	2	2	2	2	2	2		2	1	2	2	2	4	2		2	1	4	2	1	2	2	3	1	2	2		4	1	1	2	2	1	56	5	2	2	5	2	1	1	6		1	2		9		9			4	2		3	1	4	36854			2	2			" JOBS"					3	1	3	5	3	2	1	12	60906	3.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	5.0	1.0	1.0	0.418	59.067642	34579	39.119118	31467	0.41	0.58	0.5	0.25	0.6666667	0.0	0.0	0.29687503	0.0034234629	0.53623056	0.08661751	0.5584415	56.0	0.0	1.0	0.0	0.0	1.0
807	90806	256	1	"c"	3	1019	0	"R"	3	2	2	2	1	2	2		2	2			1	1	9	3	1	2	1	10	9	2		1	2	2	2	2	3	2	3	1	1	2	2	1	2							1	1	3	1	1	2	9	9	9								9	9	9	9	9	9	1		9	2	2	1	1	3	1		2	2	3	9	1	1	9	9	1	1	1		3	1	1	3	3	3	60	4	2	1	1	2	2	9	2		7	1	1	4		2		1	2	1	1	3	1	4	35983	2		1	47			"immigration"					3	1	4	5	2	1	1.951219512195122	9	60906	2.0	4.0	0.0	1.0	0.0	1.0	0.0	7.0	4.0	7.0	5.0	0.42	92.77043	25700	4.677043	40690	0.34	0.65	0.25	0.75	0.5	0.75	0.8	0.30468744	0.0025134569	0.064111196	0.18677714	0.6493506	60.0	0.75	1.0	0.0	0.0	0.0
230	90606	256	1	"c"	3	1019	0	"R"	3	2	2	2	1	1	1		2	2			4	2		3	1	1	1	10	9	2		3	1	1	3	2	3	2	3	2	3	3	1	3	3							1	1	1	1	1	3	9	9	9								9	9	9	9	9	9	9		9	9	3	1	1		2		9	2	2	2	2	9	1	9	2	9	1		9	2	9	1	3	3	51	7	2	1	1	2	1	1	2		6	1	1	2	2			3	2	1	1	1	1	4	35960	2		2	62	76		"THE TERRORIST AND THE GAS PRICES"					3	1	4	4	4	1	1.7804878048780488	1	60906	2.0	4.0	0.0	1.0	0.0	0.0	0.0	6.0	7.0	6.0	5.0	0.42	92.77043	25700	4.677043	40690	0.34	0.65	0.25	0.75	1.0	0.625	0.8	0.30468744	0.0025134569	0.064111196	0.18677714	0.6493506	51.0	0.625	0.0	0.0	0.0	0.0
239	90606	205	1	"c"	3	1023	0	"R"	3	2	2	2	9	9	2		1	4			2	2		3	1	3	1	10	2			3	9	2	2	2	3	2	2	2	3	2	3	3	3							1	1	3	2	2	4	2	2	2								2	2	2	2	2	2	2		2	2	2	2	2		3		2	1	3	3	2	2	9	3	2	9	1		9	2	3	3	3	3	73	1	2	4	4	2	1	2	2		1	1	1	2	2			1	3	1	4	3	1	4	36922	1	1	2	99								4	1	3	6	1	4	4.317073170731708	1	60906	2.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	5.0	0.436	55.43902	14111	42.973568	31076	0.46	0.54	0.25	0.5	0.0	0.0	0.8	0.36718744	0.001325704	0.58906597	0.08237134	0.5064935	73.0	0.0	0.0	0.0	0.0	0.0
245	90606	334	1	"c"	3	1025	0	"R"	3	2	1	1	1	2	1		2	2			4	2		1	1	1	1	10	2			1	2	2	1	2	3	1	2	1	3	1	1	2	2							3	1	2	1	2	2	2	2	1								2	2	2	2	1	1	1		1	4	1	1	1		1		2	2	3	2	1	1	1	3	1	1	2		2	2	1	2	2	1	38	5	2	1	1	1	1	1	2		8	1	1	3		2		1	2	1	1	1	1	4	36784	2		2	1			"ECONOMY"					2	1	4	3	3	1	1.6829268292682926	1	60906	2.0	4.0	1.0	1.0	0.0	0.0	0.0	8.0	5.0	8.0	5.0	0.518	55.040943	26255	41.858692	27439	0.41	0.59	0.25	0.75	0.6666667	0.875	0.8	0.68750006	0.0025703388	0.57378364	0.042874362	0.57142854	38.0	0.875	1.0	0.0	0.0	1.0
428	90706	334	1	"c"	3	1041	0	"R"	3	1	1	1	8	1	1	9	1	2	3	1			2	3	1	2	1	9	1		4		1	1	1	1	1	2	3	1	1	2	3	2	2	2	3	4	1	1	2							1	1	1	2	2	2	1	2	2	1								2		2	1	2	2	2	2	2		2	2	1	1	1	1	2	2	1	2	1		2	2	1	3	1	18	3	2	2	5	2	9		1		10	1	1	3		9			1	2		1	2	4	33549			2	97				99				1	1	4	1	2	2	1.5609756097560976	2	60906	3.0	5.0	1.0	0.0	1.0	0.0	0.0		3.0	4.1265497	6.0	0.5	73.205055	13928	20.828547	35140	0.31	0.69	0.5	1.0	0.33333334	0.39081872	1.0	0.6171875	0.0013069484	0.2855101	0.12650543	0.70129865	18.0		1.0	0.0	0.0	1.0
